"source_sheet","source_cell","records_with_same_source_cell","duplicate_flag"
"AN<U+00C1>LISE EMULS<U+00D5>ES","H21",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H21",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","H22",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H22",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","H23",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H23",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","H24",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H24",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H25",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H26",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H27",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H28",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H29",1,FALSE
"COMPARATIVO","H3",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H33",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H34",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H35",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H36",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H37",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H38",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H39",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","H4",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","H4",1,FALSE
"COMPARATIVO","H4",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H40",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H41",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","H43",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","H5",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","H5",1,FALSE
"COMPARATIVO","H5",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","H6",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","H6",1,FALSE
"COMPARATIVO","H6",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","H7",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","H7",1,FALSE
"COMPARATIVO","H7",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","H8",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","H8",1,FALSE
"COMPARATIVO","H8",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","H9",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","H9",1,FALSE
"COMPARATIVO","H9",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","I10",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","I10",1,FALSE
"COMPARATIVO","I10",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","I11",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","I11",1,FALSE
"COMPARATIVO","I11",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","I12",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","I12",1,FALSE
"COMPARATIVO","I12",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","I13",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","I13",1,FALSE
"COMPARATIVO","I13",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","I14",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","I14",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","I15",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","I15",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","I16",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","I16",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","I17",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","I17",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","I18",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","I18",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","I19",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","I19",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","I20",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","I21",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","I22",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","I23",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","I24",1,FALSE
"COMPARATIVO","I3",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","I4",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","I4",1,FALSE
"COMPARATIVO","I4",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","I5",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","I5",1,FALSE
"COMPARATIVO","I5",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","I6",1,FALSE
"AN<U+00C1>LISE USINABILIDADE","I6",1,FALSE
"COMPARATIVO","I6",1,FALSE
"AN<U+00C1>LISE EMULS<U+00D5>ES","I7",1,FALSE
